periodo,igae
ene-93,60.41
feb-93,61.02
mar-93,63.94
abr-93,61.87
may-93,63.61
jun-93,62.88
jul-93,62.8
ago-93,62.03
sep-93,62.02
oct-93,62.83
nov-93,63.62
dic-93,66.12
ene-94,63.03
feb-94,62.73
mar-94,65.79
abr-94,65.89
may-94,66.86
jun-94,66.64
jul-94,64.7
ago-94,65.8
sep-94,65.76
oct-94,66.73
nov-94,67.85
dic-94,68.07
ene-95,65.1
feb-95,60.29
mar-95,62.93
abr-95,59.24
may-95,61.18
jun-95,61.08
jul-95,59.78
ago-95,61.07
sep-95,60.85
oct-95,60.22
nov-95,63.06
dic-95,65.41
ene-96,64.6
feb-96,63.25
mar-96,65
abr-96,63.82
may-96,66.57
jun-96,65.58
jul-96,65.91
ago-96,65.36
sep-96,65.04
oct-96,67.82
nov-96,68.56
dic-96,69.27
ene-97,67.92
feb-97,66.02
mar-97,67.09
abr-97,70.19
may-97,71.25
jun-97,70.72
jul-97,70.48
ago-97,70.03
sep-97,70.75
oct-97,73.24
nov-97,72.76
dic-97,73.78
ene-98,72.28
feb-98,71.27
mar-98,75.31
abr-98,72.95
may-98,75.14
jun-98,74.65
jul-98,74.61
ago-98,73.48
sep-98,73.77
oct-98,74.46
nov-98,74.44
dic-98,75.68
ene-99,74.28
feb-99,72.71
mar-99,76.99
abr-99,74.33
may-99,76.92
jun-99,76.56
jul-99,76.31
ago-99,75.67
sep-99,76.25
oct-99,76.45
nov-99,77.67
dic-99,78.05
ene-00,77.93
feb-00,77.37
mar-00,80.36
abr-00,77.01
may-00,82.34
jun-00,81.54
jul-00,79.63
ago-00,81.19
sep-00,80.16
oct-00,80.81
nov-00,80.92
dic-00,79.5
ene-01,79.42
feb-01,76.42
mar-01,80.77
abr-01,77.53
may-01,81.78
jun-01,80.61
jul-01,79.33
ago-01,80.59
sep-01,78.27
oct-01,79.97
nov-01,80.09
dic-01,79.09
ene-02,77.39
feb-02,75.11
mar-02,77.12
abr-02,80.83
may-02,82.07
jun-02,79.72
jul-02,79.93
ago-02,80.31
sep-02,78.38
oct-02,81.61
nov-02,80.1
dic-02,80.49
ene-03,79.27
feb-03,77.18
mar-03,80.34
abr-03,79.95
may-03,82.29
jun-03,81.44
jul-03,80.94
ago-03,79.42
sep-03,79.19
oct-03,81.88
nov-03,80.63
dic-03,83.33
ene-04,80.93
feb-04,79.19
mar-04,84.93
abr-04,82.94
may-04,85.24
jun-04,85.62
jul-04,82.94
ago-04,83.13
sep-04,82.2
oct-04,84.36
